plate number,Genotype,N condition LEFT,N condition RIGHT,editor,decision to trace (y/n),expertized (y/n),uploaded (y/n),reviewer,reviewed (y/n),abnormalty noted (reason not to trace),count
250526CA51,Col-0,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA52,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA53,nrtquad,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA54,nrtquad,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA55,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA56,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA57,Col-0,KCl 5mM,KNO3 5mM,Cannelle,n,n,,,,primary that goes in the middle,
250526CA58,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,fungi,
250526CA59,nrtquad,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA60,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA61,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA62,Col-0,KCl 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA63,Col-0,KNO3 5mM,KCl 5mM,Cannelle,n,n,,,,contamination,
250526CA64,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,contamination,
250526CA65,nrtquad,KCl 5mM,KCl 5mM,Cannelle,n,n,,,,contamination,
250526CA66,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA67,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,2 primaries,
250526CA68,Col-0,KCl 5mM,KNO3 5mM,Cannelle,n,n,,,,primary dead,
250526CA69,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA70,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA71,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA72,Col-0,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA73,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA74,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA75,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,primary in the middle,
250526CA76,Col-0,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA77,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA78,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA79,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,primary in the middle,
250526CA80,Col-0,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA84,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,n,n,,,,fungi,
250526CA85,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA86,Col-0,KNO3 5mM,KNO3 5mM,Cannelle,?,,,,,,
250526CA87,Col-0,KCl 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA88,nrtquad,KNO3 5mM,KNO3 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA89,nrtquad,KNO3 5mM,KCl 5mM,Cannelle,y,y,y,CiCi,y,,
250526CA90,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA91,Col-0,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA92,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA93,nrtquad,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA94,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA95,Col-0,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA96,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA97,nrtquad,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA98,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA99,Col-0,KCl 200µM,KNO3 200µM,Cannelle,n,n,,,,wrong superposition of images,
250526CA100,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA101,nrtquad,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA102,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA103,Col-0,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA104,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA105,nrtquad,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA106,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA107,Col-0,KNO3 200µM,KCl 200µM,Cannelle,n,n,,,,primary dead,
250526CA108,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA109,nrtquad,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA110,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA111,Col-0,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA112,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA113,nrtquad,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA114,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA115,Col-0,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA116,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA117,nrtquad,KCl 200µM,KNO3 200µM,Cannelle,n,n,,,,primary dead,
250526CA118,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,n,n,,,,primary dead,
250526CA119,Col-0,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA120,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA124,nrtquad,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA125,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA126,Col-0,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA127,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA128,nrtquad,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA129,Col-0,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA130,Col-0,KNO3 200µM,KCl 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA131,nrtquad,KNO3 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
250526CA132,nrtquad,KCl 200µM,KNO3 200µM,Cannelle,y,y,y,CiCi,y,,
